Signature,NamePKO,Country,Year,mandate_renewal,mandate_completeadjustment,date,disarmdemob_monitor,disarmdemob_assist,disarmdemob_encouraged,disarmdemob_security,reintegration_monitor,reintegration_assist,reintegration_security,reintegration_encouraged,controlsalw_monitor,controlsalw_assist,controlsalw_encouraged,controlsalw_security,armsembargo_monitor,armsembargo_assist,armsembargo_encouraged,armsembargo_security,civprotect_monitor,civprotect_assist,civprotect_security,civprotect_encouraged,humanrights_monitor,humanrights_assist,humanrights_encouraged,humanrights_security,childrights_monitor,childrights_assist,childrights_encouraged,childrights_security,sgbviolence_monitor,sgbviolence_assist,sgbviolence_encouraged,sgbviolence_security,policereform_monitor,policereform_assist,policereform_encouraged,policereform_security,militaryreform_monitor,militaryreform_assist,militaryreform_encouraged,militaryreform_security,demil_monitor,demil_assist,demil_security,demil_encouraged,offensoper_assist,offensoper_security,offensoper_monitor,offensoper_encouraged,justicereform_monitor,justicereform_assist,justicereform_encouraged,justicereform_security,transjustice_monitor,transjustice_assist,transjustice_encouraged,transjustice_security,correctionsreform_monitor,correctionsreform_assist,correctionsreform_encouraged,correctionsreform_security,bordercontrol_monitor,bordercontrol_assist,bordercontrol_encouraged,bordercontrol_security,demining_monitor,demining_assist,demining_encouraged,demining_security,resources_monitor,resources_assist,resources_security,resources_encouraged,stateauthority_monitor,stateauthority_assist,stateauthority_encouraged,stateauthority_security,democratization_monitor,democratization_assist,democratization_encouraged,democratization_security,electsec_monitor,electsec_assist,electsec_encouraged,electassist_monitor,electassist_assist,electassist_encouraged,electassist_security,votereducation_monitor,votereducation_assist,votereducation_security,votereducation_encouraged,polpartyassist_monitor,polpartyassist_assist,polpartyassist_encouraged,polpartyassist_security,civilsociety_monitor,civilsociety_assist,civilsociety_security,civilsociety_encouraged,media_monitor,media_assist,media_encouraged,media_security,publicinfo_assist,publicinfo_encouraged,publicinfo_monitor,publicinfo_security,powersharing_monitor,powersharing_assist,powersharing_encouraged,powersharing_security,reconcil_monitor,reconcil_assist,reconcil_encouraged,reconcil_security,localreconcil_monitor,localreconcil_assist,localreconcil_encouraged,localreconcil_security,regreconcil_monitor,regreconcil_assist,regreconcil_encouraged,regreconcil_security,ecdevelop_monitor,ecdevelop_assist,ecdevelop_encouraged,ecdevelop_security,humanrelief_monitor,humanrelief_assist,humanrelief_encouraged,humanrelief_security,publichealth_monitor,publichealth_assist,publichealth_encouraged,publichealth_security,refugeeidps_monitor,refugeeidps_assist,refugeeidps_encouraged,refugeeidps_security,gender_monitor,gender_assist,gender_encouraged,gender_security,legalreform_monitor,legalreform_assist,legalreform_encouraged,legalreform_security,ceasefire_monitor,ceasefire_assist,ceasefire_encouraged,ceasefire_security,peaceprocess_monitor,peaceprocess_assist,peaceprocess_encouraged,peaceprocess_security,culturalheritage_assist,culturalheritage_security,culturalheritage_monitor,culturalheritage_encouraged
"S/RES/1479","MINUCI","Ivory Coast",2003,0,0,13may2003,"","Mandated in current resolution in S/RES/1479 paragraph(s) 3","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1479 paragraph(s) 3","","","","","","","","","","","","Mandated in current resolution in S/RES/1479 paragraph(s) 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1479 paragraph(s) 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1479 paragraph(s) 3","","","","","","","Mandated in current resolution in S/RES/1479 paragraph(s) 3","Mandated in current resolution in S/RES/1479 paragraph(s) 10","","","","Mandated in current resolution in S/RES/1479 paragraph(s) 5","","","","Mandated in current resolution in S/RES/1479 paragraph(s) 3","","","","","","","","","","","","","",""
"S/RES/1514","MINUCI","Ivory Coast",2003,1,0,,"","Mandated in previous resolution in S/RES/1479 paragraph(s) 3","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1479 paragraph(s) 3","","","","","","","","","","","","Mandated in previous resolution in S/RES/1479 paragraph(s) 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1479 paragraph(s) 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1479 paragraph(s) 3","","","","","","","Mandated in previous resolution in S/RES/1479 paragraph(s) 3","Mandated in previous resolution in S/RES/1479 paragraph(s) 10","","","","Mandated in previous resolution in S/RES/1479 paragraph(s) 5","","","","Mandated in previous resolution in S/RES/1479 paragraph(s) 3","","","","","","","","","","","","","",""
"S/RES/1527","MINUCI","Ivory Coast",2004,1,0,,"","Mandated in previous resolution in S/RES/1479 paragraph(s) 3","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1479 paragraph(s) 3","","","","","","","","","","","","Mandated in previous resolution in S/RES/1479 paragraph(s) 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1479 paragraph(s) 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1479 paragraph(s) 3","","","","","","","Mandated in previous resolution in S/RES/1479 paragraph(s) 3","Mandated in previous resolution in S/RES/1479 paragraph(s) 10","","","","Mandated in previous resolution in S/RES/1479 paragraph(s) 5","","","","Mandated in previous resolution in S/RES/1479 paragraph(s) 3","","","","","","","","","","","","","",""
"S/RES/2350","MINUJUSTH","Haiti",2017,0,0,13apr2017,"","","","","","Mandated in current resolution in S/RES/2350 paragraph(s) 11","","","","","","","","","","","","","Mandated in current resolution in S/RES/2350 paragraph(s) 13","","Mandated in current resolution in S/RES/2350 paragraph(s) 6","","","","","","","","","","","","","Mandated in current resolution in S/RES/2350 paragraph(s) 6","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/2350 paragraph(s) 6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/2350 paragraph(s) 11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/2410","MINUJUSTH","Haiti",2018,1,0,04oct2018,"","","","","","Mandated in current resolution in S/RES/2410 paragraph(s) 7","","","","","","","","","","","","","Mandated in current resolution in S/RES/2410 paragraph(s) 15","","Mandated in current resolution in S/RES/2410 paragraph(s) 1","","Mandated in current resolution in S/RES/2410 paragraph(s) 11","","","","","","","","","","","Mandated in current resolution in S/RES/2410 paragraph(s) 1, 7","Mandated in current resolution in S/RES/2410 paragraph(s) 11","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/2410 paragraph(s) 1, 7","Mandated in current resolution in S/RES/2410 paragraph(s) 11","","","","","","","Mandated in current resolution in S/RES/2410 paragraph(s) 7","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/2410 paragraph(s) 7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/2410 paragraph(s) 7","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/2410 paragraph(s) 7","","","","","","","","","","","","","",""
"S/RES/2466","MINUJUSTH","Haiti",2019,1,0,04dec2019,"","","","","","Mandated in previous resolution in S/RES/2410 paragraph(s) 7","","","","","","","","","","","","","Mandated in current resolution in S/RES/2466 paragraph(s) 10","","Mandated in previous resolution in S/RES/2410 paragraph(s) 1","","Mandated in current resolution in S/RES/2466 paragraph(s) 6","","","","","","","","","","","Mandated in current resolution in S/RES/2466 paragraph(s) 11","Mandated in current resolution in S/RES/2466 paragraph(s) 6","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/2410 paragraph(s) 1, 7","Mandated in current resolution in S/RES/2466 paragraph(s) 6","","","","","","","Mandated in previous resolution in S/RES/2410 paragraph(s) 7","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/2410 paragraph(s) 7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/2410 paragraph(s) 7","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/2410 paragraph(s) 7","","","","","","","","","","","","","",""
"S/RES/1159","MINURCA","Central African Republic",1998,0,0,27mar1998,"Mandated in current resolution in S/RES/1159 paragraph(s) 10c","Mandated in current resolution in S/RES/1159 paragraph(s) 10c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1159 paragraph(s) 10e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1159 paragraph(s) 10f","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1159 paragraph(s) 14a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1201","MINURCA","Central African Republic",1998,1,0,15oct1998,"Mandated in previous resolution in S/RES/1159 paragraph(s) 10c","Mandated in previous resolution in S/RES/1159 paragraph(s) 10c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1159 paragraph(s) 10e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1201 paragraph(s) 2c","","Mandated in current resolution in S/RES/1201 paragraph(s) 2b","Mandated in current resolution in S/RES/1201 paragraph(s) 2, 2a","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1159 paragraph(s) 14a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1182","MINURCA","Central African Republic",1998,1,0,,"Mandated in previous resolution in S/RES/1159 paragraph(s) 10c","Mandated in previous resolution in S/RES/1159 paragraph(s) 10c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1159 paragraph(s) 10e","","","","Mandated in previous resolution in S/RES/1271 paragraph(s) 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1201 paragraph(s) 2c","","Mandated in previous resolution in S/RES/1201 paragraph(s) 2b","Mandated in previous resolution in S/RES/1201 paragraph(s) 2, 2a","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1159 paragraph(s) 14a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1271","MINURCA","Central African Republic",1999,1,0,22oct1999,"Mandated in previous resolution in S/RES/1159 paragraph(s) 10c","Mandated in previous resolution in S/RES/1159 paragraph(s) 10c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1159 paragraph(s) 10e","","","","Mandated in current resolution in S/RES/1271 paragraph(s) 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1201 paragraph(s) 2c","","Mandated in previous resolution in S/RES/1201 paragraph(s) 2b","Mandated in previous resolution in S/RES/1201 paragraph(s) 2, 2a","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1159 paragraph(s) 14a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1230","MINURCA","Central African Republic",1999,1,0,,"Mandated in previous resolution in S/RES/1159 paragraph(s) 10c","Mandated in current resolution in S/RES/1230 paragraph(s) 12c","","","","Mandated in current resolution in S/RES/1230 paragraph(s) 12c","","","","Mandated in current resolution in S/RES/1230 paragraph(s) 10","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1159 paragraph(s) 10e","","","","Mandated in current resolution in S/RES/1230 paragraph(s) 12a, 12d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1230 paragraph(s) 11, 9","","Mandated in current resolution in S/RES/1230 paragraph(s) 9","Mandated in current resolution in S/RES/1230 paragraph(s) 9","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1159 paragraph(s) 14a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1230 paragraph(s) 12a","","","","","","","","","","","","","",""
"S/RES/1778","MINURCAT","Chad",2007,0,0,,"","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1861 paragraph(s) 7a(i)","","Mandated in current resolution in S/RES/1778 paragraph(s) 2e","Mandated in current resolution in S/RES/1778 paragraph(s) 2e","","","","Mandated in current resolution in S/RES/1778 paragraph(s) 2f","","","","Mandated in current resolution in S/RES/1778 paragraph(s) 2e","","","","Mandated in current resolution in S/RES/1778 paragraph(s) 2a, 5","Mandated in previous resolution in S/RES/1861 paragraph(s) 13","","","Mandated in previous resolution in S/RES/1861 paragraph(s) 6a","","","","","","","","","","","","Mandated in current resolution in S/RES/1778 paragraph(s) 2g","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1778 paragraph(s) 2f","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1861 paragraph(s) 6e","","","","Mandated in previous resolution in S/RES/1861 paragraph(s) 6i","","","","","","","Mandated in previous resolution in S/RES/1861 paragraph(s) 6d","Mandated in current resolution in S/RES/1778 paragraph(s) 1","","Mandated in current resolution in S/RES/1778 paragraph(s) 5","","","","","","Mandated in current resolution in S/RES/1778 paragraph(s) 2c","","Mandated in current resolution in S/RES/1778 paragraph(s) 1, 5","","","","","","Mandated in current resolution in S/RES/1778 paragraph(s) 2g","","","","","","","","","","","","","",""
"S/RES/1834","MINURCAT","Chad",2008,1,0,,"","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1923 paragraph(s) 10","","Mandated in previous resolution in S/RES/1923 paragraph(s) 8(v)","Mandated in previous resolution in S/RES/1923 paragraph(s) 8(v), 8(vi)","","","","Mandated in previous resolution in S/RES/1923 paragraph(s) 8(vi)","","","","Mandated in previous resolution in S/RES/1923 paragraph(s) 8(v)","","","","Mandated in previous resolution in S/RES/1923 paragraph(s) 8(i), 12, 14","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1923 paragraph(s) 8(vii)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1923 paragraph(s) 8(vi)","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1923 paragraph(s) 8(iv)","","","","","","","","","","","Mandated in previous resolution in S/RES/1923 paragraph(s) 8(iii)","","","Mandated in previous resolution in S/RES/1923 paragraph(s) 9(iv)","","","","","","Mandated in previous resolution in S/RES/1923 paragraph(s) 8(ii), 8(iv)","Mandated in previous resolution in S/RES/1923 paragraph(s) 23","","","","","","","Mandated in previous resolution in S/RES/1923 paragraph(s) 8(vii)","","","","","","","","","","","","","",""
"S/RES/1861","MINURCAT","Chad",2009,1,1,,"","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1861 paragraph(s) 7a(i)","","Mandated in current resolution in S/RES/1861 paragraph(s) 6f","Mandated in current resolution in S/RES/1861 paragraph(s) 6f, 6g","","","","Mandated in current resolution in S/RES/1861 paragraph(s) 6g","","","","Mandated in current resolution in S/RES/1861 paragraph(s) 6f","","","","Mandated in current resolution in S/RES/1861 paragraph(s) 6a","Mandated in current resolution in S/RES/1861 paragraph(s) 13","","","Mandated in current resolution in S/RES/1861 paragraph(s) 6a","","","","","","","","","","","","Mandated in current resolution in S/RES/1861 paragraph(s) 6h","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1861 paragraph(s) 6g","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1861 paragraph(s) 6e","","","","Mandated in current resolution in S/RES/1861 paragraph(s) 6i","","","","","","","Mandated in current resolution in S/RES/1861 paragraph(s) 6d","Mandated in current resolution in S/RES/1861 paragraph(s) 1, 5","","Mandated in current resolution in S/RES/1861 paragraph(s) 7a(ii)","","","","","","Mandated in current resolution in S/RES/1861 paragraph(s) 5, 6c, 6e","","Mandated in current resolution in S/RES/1861 paragraph(s) 1, 7a(i)","","","","","","Mandated in current resolution in S/RES/1861 paragraph(s) 6h","","","","","","","","","","","","","",""
"S/RES/1913","MINURCAT","Chad",2010,1,0,12mar2010,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1922","MINURCAT","Chad",2010,1,0,12may2010,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1923","MINURCAT","Chad",2010,1,1,25may2010,"","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1923 paragraph(s) 10","","Mandated in current resolution in S/RES/1923 paragraph(s) 8(v)","Mandated in current resolution in S/RES/1923 paragraph(s) 8(v), 8(vi)","","","","Mandated in current resolution in S/RES/1923 paragraph(s) 8(vi)","","","","Mandated in current resolution in S/RES/1923 paragraph(s) 8(v)","","","","Mandated in current resolution in S/RES/1923 paragraph(s) 8(i), 12, 14","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1923 paragraph(s) 8(vii)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1923 paragraph(s) 8(vi)","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1923 paragraph(s) 8(iv)","","","","","","","","","","","Mandated in current resolution in S/RES/1923 paragraph(s) 8(iii)","","","Mandated in current resolution in S/RES/1923 paragraph(s) 9(iv)","","","","","","Mandated in current resolution in S/RES/1923 paragraph(s) 8(ii), 8(iv)","Mandated in current resolution in S/RES/1923 paragraph(s) 23","","","","","","","Mandated in current resolution in S/RES/1923 paragraph(s) 8(vii)","","","","","","","","","","","","","",""
"S/RES/690","MINURSO","Morocco",1991,0,0,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/690 paragraph(s) 4","","","","","","","","Mandated in current resolution in S/RES/690 paragraph(s) 4","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1148 paragraph(s) 1","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/690 paragraph(s) 4","","","Mandated in current resolution in S/RES/690 paragraph(s) 4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/690 paragraph(s) 4","","","","","","","","","Mandated in current resolution in S/RES/690 paragraph(s) 4","","","","","","","","","","",""
"S/RES/995","MINURSO","Morocco",1995,1,0,26may1995,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1002","MINURSO","Morocco",1995,1,0,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1148 paragraph(s) 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1017","MINURSO","Morocco",1995,1,0,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/973","MINURSO","Morocco",1995,1,0,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1148 paragraph(s) 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1056","MINURSO","Morocco",1996,1,0,29may1996,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1042","MINURSO","Morocco",1996,1,0,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1084","MINURSO","Morocco",1996,1,0,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1148 paragraph(s) 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1108","MINURSO","Morocco",1997,1,0,22may1997,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1133","MINURSO","Morocco",1997,1,0,20oct1997,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1131","MINURSO","Morocco",1997,1,0,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1148 paragraph(s) 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1204","MINURSO","Morocco",1998,1,0,30oct1998,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1215","MINURSO","Morocco",1998,1,0,17dec1998,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1198","MINURSO","Morocco",1998,1,0,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1185","MINURSO","Morocco",1998,1,0,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1148 paragraph(s) 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1163","MINURSO","Morocco",1998,1,0,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1148","MINURSO","Morocco",1998,1,0,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1148 paragraph(s) 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1232","MINURSO","Morocco",1999,1,0,30mar1999,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1282","MINURSO","Morocco",1999,1,0,14dec1999,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1263","MINURSO","Morocco",1999,1,0,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1228","MINURSO","Morocco",1999,1,0,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1235","MINURSO","Morocco",1999,1,0,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
